年龄,年收入,贷款金额,信用评分,工作年限,负债率,有房产,有车,违约
42,30000,9746,850,4,0.43,1,1,0
36,30000,5163,695,0,0.25,0,0,0
44,30000,5000,599,0,0.08,0,1,0
53,30000,5000,677,1,0.31,0,1,0
35,30000,15240,792,6,0.51,0,0,0
35,30000,5000,796,0,0.67,1,1,0
53,30000,10075,603,9,0.26,1,0,0
45,30000,18817,670,0,0.38,0,0,0
33,30000,9181,535,0,0.6,1,0,0
43,30000,19029,715,2,0.23,1,0,0
33,30000,18654,774,19,0.1,0,1,0
33,30000,8162,653,0,0.2,1,0,0
40,30000,18305,596,0,0.63,1,1,0
22,30000,18703,678,6,0.11,0,1,0
22,30000,11346,683,1,0.23,0,1,0
32,30000,7418,656,6,0.33,1,1,0
27,30000,13946,664,1,0.59,0,1,1
41,30000,22349,636,3,0.66,0,0,1
28,30000,16431,729,1,0.3,1,1,0
23,30000,6631,708,3,0.65,1,1,0
52,30000,17337,571,7,0.11,1,0,0
35,30000,11971,569,7,0.11,0,1,0
38,30000,15422,629,3,0.66,1,1,0
23,30000,18415,708,13,0.36,1,0,0
32,30000,13813,661,1,0.13,1,1,0
39,30000,20093,598,1,0.34,0,0,0
26,30000,18165,670,4,0.55,0,0,1
41,30000,15916,623,4,0.58,1,1,0
31,30000,6166,720,0,0.6,1,1,0
35,30000,20554,676,4,0.4,1,0,0
31,30000,22654,624,2,0.61,0,1,0
56,30000,5876,668,6,0.36,1,1,0
37,30000,13253,755,8,0.42,1,1,0
27,30000,8436,604,4,0.53,1,0,0
46,30000,18844,682,0,0.3,0,1,0
25,30000,18154,644,5,0.05,1,1,0
40,30000,5958,684,6,0.25,1,1,0
22,30000,21417,597,1,0.44,1,1,0
24,30000,6800,658,3,0.13,1,1,0
39,30000,19742,738,16,0.1,0,0,0
45,30000,12596,575,1,0.21,1,1,0
39,30000,9893,543,1,0.02,0,0,0
36,30000,6323,546,1,0.52,1,0,0
34,30000,6519,556,4,0.18,0,0,0
23,30000,16899,697,14,0.09,0,1,0
30,30000,14559,537,4,0.49,1,0,0
33,30000,5563,626,1,0.59,0,0,1
48,30000,5366,699,5,0.01,1,0,0
41,30000,5000,683,4,0.16,0,0,0
22,30000,18619,619,4,0.66,1,1,0
41,30000,17949,665,0,0.27,1,1,0
34,30000,5000,658,5,0.66,0,0,1
31,30000,14765,632,2,0.19,1,0,0
44,30000,5000,633,0,0.15,0,1,0
48,30000,21978,828,3,0.15,0,1,0
47,30000,22049,714,22,0.06,0,1,0
29,30000,17662,848,2,0.63,1,0,1
34,30000,22449,610,16,0.69,0,1,1
41,30000,20040,643,0,0.67,0,1,1
47,30000,20399,543,6,0.6,1,1,0
33,30000,14963,585,0,0.59,0,0,1
36,30000,9427,802,1,0.46,0,0,0
26,30000,7573,608,4,0.58,0,1,0
26,30000,9871,803,4,0.15,0,0,0
46,30000,16198,550,7,0.27,0,0,0
51,30000,6625,565,4,0.45,0,1,1
37,30000,8431,622,4,0.61,0,1,0
48,30000,12829,644,12,0.46,0,1,1
41,30000,7894,723,3,0.59,0,1,0
31,30000,15361,686,1,0.33,1,1,0
41,30000,22386,616,0,0.5,1,1,0
53,30000,18709,639,2,0.69,0,1,1
37,30000,16994,624,6,0.11,1,1,0
53,30000,15237,576,0,0.65,1,1,1
22,30000,13246,578,0,0.37,1,0,0
46,30000,6917,732,0,0.45,0,1,0
38,30000,21788,503,4,0.61,1,0,0
35,30000,8219,779,1,0.29,0,1,0
38,30000,5000,622,0,0.29,1,0,0
22,30000,18750,588,4,0.37,0,1,0
35,30000,6687,709,7,0.01,0,0,0
41,30000,10809,768,2,0.35,0,1,0
52,30000,5000,739,4,0.2,1,0,0
32,30000,5878,690,0,0.65,1,1,0
29,30000,6637,736,13,0.06,0,1,0
32,30000,5000,512,2,0.32,0,0,1
47,30000,16789,608,29,0.66,1,0,0
41,30000,20577,577,19,0.63,1,1,0
32,30000,10839,747,7,0.49,1,1,0
43,30000,21366,619,0,0.41,1,0,0
38,30000,7480,717,3,0.2,0,0,0
47,30000,9833,692,0,0.26,0,1,0
30,30000,6165,581,11,0.06,0,0,0
34,30000,16031,603,7,0.55,0,1,1
34,30000,11817,753,17,0.23,1,1,0
23,30000,15878,587,4,0.47,0,0,0
40,30000,18995,659,3,0.25,0,1,0
40,30000,14459,587,3,0.33,0,1,0
38,30000,16180,624,2,0.39,0,1,1
35,30000,22640,646,3,0.56,1,1,0
23,30000,9280,587,5,0.15,0,1,0
33,30000,10542,573,13,0.28,0,1,0
34,30000,18071,672,4,0.09,1,1,0
29,30000,15837,582,9,0.05,0,0,0
36,30000,6749,585,9,0.42,0,0,0
42,30000,10899,574,3,0.13,1,1,0
56,30000,12824,643,2,0.04,0,1,0
39,30000,11807,725,5,0.63,1,0,0
40,30000,6743,770,2,0.37,1,1,0
37,30000,22413,591,0,0.09,0,1,0
22,30000,19008,822,2,0.04,0,0,0
37,30000,13108,569,25,0.08,1,0,0
38,30000,17281,736,0,0.33,0,0,0
62,30000,21842,592,5,0.47,1,1,0
36,30000,5859,580,9,0.45,0,1,0
41,30000,8257,590,5,0.1,1,0,0
37,30000,14396,645,4,0.44,1,1,0
26,30000,19779,696,6,0.28,1,1,0
49,30000,5000,703,2,0.33,0,1,0
45,30000,23664,574,0,0.56,0,0,1
45,30000,12553,570,16,0.23,0,1,0
28,30000,10543,576,2,0.1,1,0,0
52,30000,9147,641,5,0.61,0,0,1
23,30000,6661,633,3,0.15,1,0,0
43,30000,19623,573,0,0.21,0,0,0
59,30000,23063,671,15,0.49,0,1,0
